,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
15,0 days 01:18:57.356000,LEC,16,0 days 00:01:44.888000,16.0,2.0,0 days 01:17:33.191000,,0 days 00:00:47.985000,0 days 00:00:28.750000,0 days 00:00:28.153000,0 days 01:18:00.476000,0 days 01:18:29.226000,0 days 01:18:57.379000,313.0,314.0,313.0,284.0,False,HARD,1.0,True,Ferrari,0 days 01:17:12.468000,2024-09-01 13:24:56.387,1,7.0,False,,False,False
69,0 days 01:20:18.218000,PIA,81,0 days 00:01:44.250000,17.0,2.0,0 days 01:18:53.923000,,0 days 00:00:46.989000,0 days 00:00:29.310000,0 days 00:00:27.951000,0 days 01:19:20.991000,0 days 01:19:50.301000,0 days 01:20:18.252000,320.0,310.0,310.0,283.0,False,HARD,1.0,True,McLaren,0 days 01:18:33.968000,2024-09-01 13:26:17.887,1,4.0,False,,False,False
91,0 days 01:51:19.726000,PIA,81,0 days 00:01:43.438000,39.0,3.0,0 days 01:49:57.178000,,0 days 00:00:47.532000,0 days 00:00:28.366000,0 days 00:00:27.540000,0 days 01:50:23.854000,0 days 01:50:52.220000,0 days 01:51:19.760000,324.0,312.0,315.0,286.0,False,HARD,1.0,True,McLaren,0 days 01:49:36.288000,2024-09-01 13:57:20.207,1,3.0,False,,False,False
120,0 days 01:17:30.880000,NOR,4,0 days 00:01:43.840000,15.0,2.0,0 days 01:16:07.480000,,0 days 00:00:47.124000,0 days 00:00:28.866000,0 days 00:00:27.850000,0 days 01:16:34.208000,0 days 01:17:03.074000,0 days 01:17:30.924000,321.0,310.0,311.0,283.0,False,HARD,1.0,True,McLaren,0 days 01:15:47.040000,2024-09-01 13:23:30.959,1,8.0,False,,False,False
138,0 days 01:43:03.625000,NOR,4,0 days 00:01:44.073000,33.0,3.0,0 days 01:41:40.677000,,0 days 00:00:47.623000,0 days 00:00:28.605000,0 days 00:00:27.845000,0 days 01:42:07.219000,0 days 01:42:35.824000,0 days 01:43:03.669000,323.0,315.0,313.0,287.0,False,HARD,1.0,True,McLaren,0 days 01:41:19.552000,2024-09-01 13:49:03.471,1,6.0,False,,False,False
178,0 days 01:24:42.770000,SAI,55,0 days 00:01:44.811000,20.0,2.0,0 days 01:23:18.553000,,0 days 00:00:47.849000,0 days 00:00:28.944000,0 days 00:00:28.018000,0 days 01:23:45.830000,0 days 01:24:14.774000,0 days 01:24:42.792000,309.0,313.0,311.0,281.0,False,HARD,1.0,True,Ferrari,0 days 01:22:57.959000,2024-09-01 13:30:41.878,1,6.0,False,,False,False
227,0 days 01:19:04.576000,HAM,44,0 days 00:01:45.664000,16.0,2.0,0 days 01:17:39.828000,,0 days 00:00:47.705000,0 days 00:00:29.604000,0 days 00:00:28.355000,0 days 01:18:06.618000,0 days 01:18:36.222000,0 days 01:19:04.577000,322.0,311.0,312.0,282.0,False,HARD,1.0,True,Mercedes,0 days 01:17:18.912000,2024-09-01 13:25:02.831,1,10.0,False,,False,False
249,0 days 01:50:13.951000,HAM,44,0 days 00:01:42.426000,38.0,3.0,0 days 01:48:51.955000,,0 days 00:00:46.782000,0 days 00:00:28.180000,0 days 00:00:27.464000,0 days 01:49:18.308000,0 days 01:49:46.488000,0 days 01:50:13.952000,323.0,312.0,313.0,285.0,False,HARD,1.0,True,Mercedes,0 days 01:48:31.525000,2024-09-01 13:56:15.444,1,6.0,False,,False,False
287,0 days 01:29:05.025000,VER,1,0 days 00:01:47.839000,23.0,2.0,0 days 01:27:41.632000,,0 days 00:00:51.273000,0 days 00:00:28.653000,0 days 00:00:27.913000,0 days 01:28:08.476000,0 days 01:28:37.129000,0 days 01:29:05.042000,311.0,315.0,314.0,282.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:27:17.186000,2024-09-01 13:35:01.105,1,8.0,False,,False,False
306,0 days 01:55:58.853000,VER,1,0 days 00:01:44.090000,42.0,3.0,0 days 01:54:35.133000,,0 days 00:00:47.115000,0 days 00:00:29.109000,0 days 00:00:27.866000,0 days 01:55:01.895000,0 days 01:55:31.004000,0 days 01:55:58.870000,306.0,306.0,314.0,285.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:54:14.763000,2024-09-01 14:01:58.682,1,6.0,False,,False,False
329,0 days 01:13:35.841000,RUS,63,0 days 00:01:53.412000,12.0,2.0,0 days 01:12:11.335000,,0 days 00:00:56.118000,0 days 00:00:29.072000,0 days 00:00:28.222000,0 days 01:12:38.558000,0 days 01:13:07.630000,0 days 01:13:35.852000,320.0,311.0,310.0,283.0,False,HARD,1.0,True,Mercedes,0 days 01:11:42.429000,2024-09-01 13:19:26.348,1,16.0,False,,False,False
351,0 days 01:44:56.603000,RUS,63,0 days 00:01:44.863000,34.0,3.0,0 days 01:43:34.249000,,0 days 00:00:49.056000,0 days 00:00:28.275000,0 days 00:00:27.532000,0 days 01:44:00.807000,0 days 01:44:29.082000,0 days 01:44:56.614000,326.0,321.0,317.0,285.0,False,HARD,1.0,True,Mercedes,0 days 01:43:11.740000,2024-09-01 13:50:55.659,1,12.0,False,,False,False
394,0 days 01:30:31.232000,PER,11,0 days 00:01:45.017000,24.0,2.0,0 days 01:29:07.256000,,0 days 00:00:48.100000,0 days 00:00:28.804000,0 days 00:00:28.113000,0 days 01:29:34.321000,0 days 01:30:03.125000,0 days 01:30:31.238000,316.0,320.0,316.0,284.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:28:46.215000,2024-09-01 13:36:30.134,1,8.0,False,,False,False
406,0 days 01:47:42.350000,PER,11,0 days 00:01:44.074000,36.0,3.0,0 days 01:46:18.615000,,0 days 00:00:47.125000,0 days 00:00:28.868000,0 days 00:00:28.081000,0 days 01:46:45.407000,0 days 01:47:14.275000,0 days 01:47:42.356000,313.0,324.0,315.0,284.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:45:58.276000,2024-09-01 13:53:42.195,1,9.0,False,,False,False
441,0 days 01:22:11.113000,ALB,23,0 days 00:01:46.033000,18.0,2.0,0 days 01:20:46.162000,,0 days 00:00:48.251000,0 days 00:00:29.260000,0 days 00:00:28.522000,0 days 01:21:13.347000,0 days 01:21:42.607000,0 days 01:22:11.129000,313.0,312.0,310.0,283.0,False,HARD,1.0,True,Williams,0 days 01:20:25.080000,2024-09-01 13:28:08.999,1,13.0,False,,False,False
491,0 days 01:17:55.700000,MAG,20,0 days 00:01:47.023000,15.0,2.0,0 days 01:16:30.263000,,0 days 00:00:49.141000,0 days 00:00:29.298000,0 days 00:00:28.584000,0 days 01:16:57.851000,0 days 01:17:27.149000,0 days 01:17:55.733000,316.0,329.0,312.0,271.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:16:08.677000,2024-09-01 13:23:52.596,1,17.0,False,,False,False
542,0 days 01:14:59.885000,ALO,14,0 days 00:01:45.594000,13.0,2.0,0 days 01:13:35.387000,,0 days 00:00:47.982000,0 days 00:00:29.068000,0 days 00:00:28.544000,0 days 01:14:02.323000,0 days 01:14:31.391000,0 days 01:14:59.935000,318.0,307.0,308.0,284.0,False,HARD,2.0,False,Aston Martin,0 days 01:13:14.291000,2024-09-01 13:20:58.210,1,15.0,False,,False,False
565,0 days 01:47:59.457000,ALO,14,0 days 00:01:44.152000,36.0,3.0,0 days 01:46:36.063000,,0 days 00:00:47.393000,0 days 00:00:28.833000,0 days 00:00:27.926000,0 days 01:47:02.748000,0 days 01:47:31.581000,0 days 01:47:59.507000,316.0,310.0,312.0,285.0,False,HARD,3.0,False,Aston Martin,0 days 01:46:15.305000,2024-09-01 13:53:59.224,1,14.0,False,,False,False
599,0 days 01:20:57.279000,COL,43,0 days 00:01:46.349000,17.0,2.0,0 days 01:19:32.407000,,0 days 00:00:48.514000,0 days 00:00:29.392000,0 days 00:00:28.443000,0 days 01:19:59.462000,0 days 01:20:28.854000,0 days 01:20:57.297000,322.0,313.0,312.0,283.0,False,HARD,1.0,True,Williams,0 days 01:19:10.930000,2024-09-01 13:26:54.849,1,17.0,False,,False,False
647,0 days 01:13:44.041000,RIC,3,0 days 00:01:52.188000,12.0,2.0,0 days 01:12:18.601000,,0 days 00:00:53.859000,0 days 00:00:29.514000,0 days 00:00:28.815000,0 days 01:12:45.732000,0 days 01:13:15.246000,0 days 01:13:44.061000,310.0,316.0,309.0,283.0,False,HARD,2.0,False,RB,0 days 01:11:51.853000,2024-09-01 13:19:35.772,1,18.0,False,,False,False
720,0 days 01:42:25.254000,OCO,31,0 days 00:01:44.710000,32.0,2.0,0 days 01:41:00.975000,,0 days 00:00:47.349000,0 days 00:00:29.092000,0 days 00:00:28.269000,0 days 01:41:27.909000,0 days 01:41:57.001000,0 days 01:42:25.270000,312.0,316.0,312.0,285.0,False,MEDIUM,1.0,True,Alpine,0 days 01:40:40.544000,2024-09-01 13:48:24.463,1,16.0,False,,False,False
751,0 days 01:12:14.320000,GAS,10,0 days 00:01:45.677000,11.0,2.0,0 days 01:10:49.253000,,0 days 00:00:47.786000,0 days 00:00:29.460000,0 days 00:00:28.431000,0 days 01:11:16.482000,0 days 01:11:45.942000,0 days 01:12:14.373000,309.0,312.0,309.0,282.0,False,HARD,1.0,True,Alpine,0 days 01:10:28.643000,2024-09-01 13:18:12.562,1,18.0,False,,False,False
771,0 days 01:41:11.904000,GAS,10,0 days 00:01:45.757000,31.0,3.0,0 days 01:39:46.654000,,0 days 00:00:47.316000,0 days 00:00:29.602000,0 days 00:00:28.839000,0 days 01:40:13.516000,0 days 01:40:43.118000,0 days 01:41:11.957000,310.0,300.0,312.0,284.0,False,HARD,1.0,True,Alpine,0 days 01:39:26.147000,2024-09-01 13:47:10.066,1,19.0,False,,False,False
826,0 days 01:45:30.316000,BOT,77,0 days 00:01:45.462000,34.0,2.0,0 days 01:44:05.537000,,0 days 00:00:47.693000,0 days 00:00:29.221000,0 days 00:00:28.548000,0 days 01:44:32.547000,0 days 01:45:01.768000,0 days 01:45:30.316000,310.0,312.0,310.0,285.0,False,MEDIUM,2.0,False,Kick Sauber,0 days 01:43:44.854000,2024-09-01 13:51:28.773,1,18.0,False,,False,False
850,0 days 01:05:18.665000,HUL,27,0 days 00:02:00.178000,6.0,2.0,0 days 01:03:53.551000,,0 days 00:01:01.963000,0 days 00:00:29.356000,0 days 00:00:28.859000,0 days 01:04:20.499000,0 days 01:04:49.855000,0 days 01:05:18.714000,313.0,312.0,308.0,284.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:03:18.487000,2024-09-01 13:11:02.406,1,20.0,False,,False,False
877,0 days 01:44:22.333000,HUL,27,0 days 00:01:56.554000,33.0,3.0,0 days 01:42:58.595000,,0 days 00:00:59.655000,0 days 00:00:28.981000,0 days 00:00:27.918000,0 days 01:43:25.483000,0 days 01:43:54.464000,0 days 01:44:22.382000,312.0,316.0,314.0,288.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:42:25.779000,2024-09-01 13:50:09.698,1,19.0,False,,False,False
912,0 days 01:19:37.767000,ZHO,24,0 days 00:01:49.128000,16.0,2.0,0 days 01:18:12.028000,,0 days 00:00:51.275000,0 days 00:00:29.328000,0 days 00:00:28.525000,0 days 01:18:39.929000,0 days 01:19:09.257000,0 days 01:19:37.782000,308.0,312.0,310.0,276.0,False,HARD,2.0,False,Kick Sauber,0 days 01:17:48.639000,2024-09-01 13:25:32.558,1,19.0,False,,False,False
968,0 days 01:25:13.229000,STR,18,0 days 00:01:45.665000,20.0,2.0,0 days 01:23:48.876000,,0 days 00:00:48.081000,0 days 00:00:29.135000,0 days 00:00:28.449000,0 days 01:24:15.648000,0 days 01:24:44.783000,0 days 01:25:13.232000,323.0,314.0,311.0,283.0,False,HARD,3.0,False,Aston Martin,0 days 01:23:27.564000,2024-09-01 13:31:11.483,1,17.0,False,,False,False
985,0 days 01:49:40.261000,STR,18,0 days 00:01:43.775000,37.0,3.0,0 days 01:48:17.093000,,0 days 00:00:46.949000,0 days 00:00:28.823000,0 days 00:00:28.003000,0 days 01:48:43.438000,0 days 01:49:12.261000,0 days 01:49:40.264000,328.0,325.0,315.0,283.0,False,MEDIUM,2.0,False,Aston Martin,0 days 01:47:56.486000,2024-09-01 13:55:40.405,1,17.0,False,,False,False
999,0 days 02:09:52.755000,STR,18,0 days 00:01:50.980000,51.0,4.0,0 days 02:08:23.328000,,0 days 00:00:49.959000,0 days 00:00:32.440000,0 days 00:00:28.581000,0 days 02:08:51.737000,0 days 02:09:24.177000,0 days 02:09:52.758000,265.0,318.0,314.0,247.0,False,SOFT,1.0,True,Aston Martin,0 days 02:08:01.775000,2024-09-01 14:15:45.694,1,19.0,False,,False,False
